tpms_type,unit_cell_size_mm,wall_thickness_mm,porosity_min,porosity_max,func_degree,stl_path,compressive_strength_MPa,tensile_strength_MPa,max_force_N,cross_sectional_area_m2,energy_absorption_J,max_displacement_mm,max_strain,status
gyroid,8.0,3.0,0.2,0.6,1,gyroid_outputs/gyroid_20251203_030231.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.6,2,gyroid_outputs/gyroid_20251203_030233.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.7,1,gyroid_outputs/gyroid_20251203_030236.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.7,2,gyroid_outputs/gyroid_20251203_030239.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.8,1,gyroid_outputs/gyroid_20251203_030241.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.8,2,gyroid_outputs/gyroid_20251203_030244.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.9,1,gyroid_outputs/gyroid_20251203_030248.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.9,2,gyroid_outputs/gyroid_20251203_030251.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.5,1,gyroid_outputs/gyroid_20251203_030254.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.5,2,gyroid_outputs/gyroid_20251203_030256.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.6,1,gyroid_outputs/gyroid_20251203_030259.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.6,2,gyroid_outputs/gyroid_20251203_030301.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.7,1,gyroid_outputs/gyroid_20251203_030304.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.7,2,gyroid_outputs/gyroid_20251203_030306.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.8,1,gyroid_outputs/gyroid_20251203_030309.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.8,2,gyroid_outputs/gyroid_20251203_030312.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.9,1,gyroid_outputs/gyroid_20251203_030314.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.3,0.9,2,gyroid_outputs/gyroid_20251203_030317.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.5,1,gyroid_outputs/gyroid_20251203_030320.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.5,2,gyroid_outputs/gyroid_20251203_030322.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.6,1,gyroid_outputs/gyroid_20251203_030327.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.6,2,gyroid_outputs/gyroid_20251203_030330.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.7,1,gyroid_outputs/gyroid_20251203_030332.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.7,2,gyroid_outputs/gyroid_20251203_030335.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.8,1,gyroid_outputs/gyroid_20251203_030338.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.8,2,gyroid_outputs/gyroid_20251203_030340.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.9,1,gyroid_outputs/gyroid_20251203_030343.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.4,0.9,2,gyroid_outputs/gyroid_20251203_030346.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.5,1,gyroid_outputs/gyroid_20251203_030348.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.5,2,gyroid_outputs/gyroid_20251203_030351.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.6,1,gyroid_outputs/gyroid_20251203_030353.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.6,2,gyroid_outputs/gyroid_20251203_030356.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.7,1,gyroid_outputs/gyroid_20251203_030359.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.7,2,gyroid_outputs/gyroid_20251203_030401.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.8,1,gyroid_outputs/gyroid_20251203_030404.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.8,2,gyroid_outputs/gyroid_20251203_030407.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.9,1,gyroid_outputs/gyroid_20251203_030409.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.5,0.9,2,gyroid_outputs/gyroid_20251203_030415.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,9.0,3.0,0.2,0.5,1,gyroid_outputs/gyroid_20251203_030417.stl,11.468563839259005,1.7504650070447954,5000.0,0.00043597437918809677,0.023946360724814746,0.009578544289925899,0.00045874255357036017,success
gyroid,9.0,3.0,0.2,0.5,2,gyroid_outputs/gyroid_20251203_030420.stl,11.468563839259005,1.7504650070447954,5000.0,0.00043597437918809677,0.023946360724814746,0.009578544289925899,0.00045874255357036017,success
gyroid,9.0,3.0,0.2,0.6,1,gyroid_outputs/gyroid_20251203_030423.stl,11.468563839259005,1.7504650070447954,5000.0,0.00043597437918809677,0.023946360724814746,0.009578544289925899,0.00045874255357036017,success
gyroid,9.0,3.0,0.2,0.6,2,gyroid_outputs/gyroid_20251203_030426.stl,11.468563839259005,1.7504650070447954,5000.0,0.00043597437918809677,0.023946360724814746,0.009578544289925899,0.00045874255357036017,success
gyroid,9.0,3.0,0.2,0.7,1,gyroid_outputs/gyroid_20251203_030428.stl,11.468563839259005,1.7504650070447954,5000.0,0.00043597437918809677,0.023946360724814746,0.009578544289925899,0.00045874255357036017,success
